Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
9186,27.0,21.05640777683327,0.0,0.0,0.0,0.0,1.0,3.33555703802535,8.0,16.912246580555145,8.0,31.93485290008383,10.0,143.78145219266713,0.0,0.0
9187,49.0,18.75023916121379,1.0,7.9434426880610065,1.0,4.141129700182209,5.0,8.637816360024186,11.0,11.860477653781874,17.0,29.62601512669478,14.0,84.43399071226102,0.0,0.0
9188,33.0,24.146282570042512,3.0,47.808764940239044,2.0,14.467592592592593,2.0,7.290489556373711,9.0,18.358729575913348,10.0,33.07206402751596,7.0,70.88607594936708,0.0,0.0
9189,36.0,20.302392862580998,3.0,36.50967506389193,1.0,6.387327542156362,5.0,12.713265020722622,14.0,22.832167261933886,8.0,19.898517560441746,5.0,39.69514131470308,0.0,0.0
9190,32.0,23.620071155464355,3.0,45.23522316043426,0.0,0.0,6.0,20.33760423022168,10.0,20.97711396866019,4.0,13.425521917164529,9.0,99.19541496748595,0.0,0.0
9261,8.0,10.897549413575621,0.0,0.0,0.0,0.0,1.0,5.229851995188536,0.0,0.0,1.0,6.89893066574681,6.0,125.07817385866166,0.0,0.0
9262,12.0,22.725981478325096,2.0,96.2000962000962,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.14440825190011,7.0,202.60492040520984,0.0,0.0
9263,14.0,29.294218576719466,1.0,48.44961240310077,0.0,0.0,2.0,16.99379726399864,2.0,11.986096128490951,3.0,28.963120293492953,6.0,191.44862795149967,,
9271,32.0,26.783173471266675,1.0,19.06941266209001,3.0,29.43773918163085,2.0,7.074887686157982,13.0,30.658931182491393,2.0,7.640586797066015,11.0,152.8627015008338,0.0,0.0
9272,47.0,59.97805058574309,1.0,30.26634382566586,2.0,31.953986259785907,16.0,93.59461830944721,14.0,50.25847214244687,9.0,47.71751232702402,3.0,60.156406657309006,2.0,255.22574717337486
9273,38.0,30.879747761218287,1.0,16.13684040664838,0.0,0.0,6.0,20.573309559731175,10.0,22.452232874559375,10.0,40.769732550554465,11.0,160.49022468631455,0.0,0.0
9274,32.0,20.013133618937427,2.0,24.527839097375523,0.0,0.0,8.0,22.266755733689603,3.0,5.060131226069796,11.0,33.86908060841185,8.0,93.4797849964945,0.0,0.0
9275,55.0,28.54829333111868,2.0,24.113817217265492,1.0,6.019744762822056,5.0,11.964298533177,15.0,21.966435286881644,12.0,26.542213178208844,20.0,160.48788316482106,0.0,0.0
9276,33.0,42.63015114326314,1.0,29.256875365710943,0.0,0.0,9.0,52.83860740914695,9.0,33.364226135310474,11.0,59.57861669284515,3.0,58.07200929152149,,
9277,25.0,20.575792991061874,0.0,0.0,1.0,9.388789784996714,3.0,10.810421246081223,2.0,4.69781316797031,12.0,44.62127691220764,7.0,86.39842014317452,0.0,0.0
9278,36.0,35.60126582278481,0.0,0.0,0.0,0.0,3.0,13.33570412517781,9.0,24.317751958930018,12.0,55.668955279272595,12.0,207.07506471095772,0.0,0.0
9279,33.0,34.13216387575893,1.0,21.39495079161318,0.0,0.0,1.0,4.353125544140693,8.0,22.910819634572427,11.0,55.02751375687844,12.0,215.59468199784405,0.0,0.0
9361,29.0,68.70898192242993,1.0,54.88474204171241,0.0,0.0,3.0,30.352084176446784,12.0,84.97981729339281,7.0,72.99270072992701,6.0,178.4651992861392,0.0,0.0
9362,53.0,34.61925353051067,1.0,14.05678942929435,0.0,0.0,4.0,8.042949349526472,13.0,26.00468084255166,16.0,61.61666730850695,19.0,225.25192649673977,0.0,0.0
9363,28.0,65.50780244718433,2.0,105.04201680672269,1.0,29.533372711163615,7.0,68.18624586012079,9.0,62.59998608889198,8.0,83.71703641691084,1.0,30.73140749846343,0.0,0.0
9371,41.0,39.78689749536628,0.0,0.0,1.0,11.535355865728457,4.0,17.654587986052874,9.0,24.42598925256473,12.0,52.12179125222603,15.0,212.7659574468085,0.0,0.0
9372,37.0,28.90670166721355,2.0,34.86750348675035,2.0,18.25983748744636,2.0,7.008936393902226,11.0,24.208279231497173,9.0,31.02913290811929,11.0,132.05282112845137,0.0,0.0
9373,42.0,31.209826636843943,2.0,29.931158335827597,1.0,8.093234056328908,3.0,9.623404118816962,19.0,38.866728035184614,9.0,32.57918552036199,8.0,101.8978474079735,0.0,0.0
9374,28.0,29.645314981471678,1.0,22.045855379188712,0.0,0.0,4.0,19.305951059414063,5.0,14.737090308889412,9.0,42.53509145044662,9.0,146.89081116370164,0.0,0.0
9375,57.0,29.370845571185654,3.0,31.25,1.0,5.474052988832932,9.0,21.202911866563007,13.0,18.13110181311018,20.0,48.38046396864946,11.0,102.65024262784621,0.0,0.0
9376,41.0,27.726682536247566,2.0,29.13752913752914,1.0,7.851758793969849,8.0,23.717055527556255,8.0,15.010225716269208,12.0,37.744157518950715,10.0,105.80890911014707,0.0,0.0
9377,27.0,37.47605696360659,0.0,0.0,0.0,0.0,5.0,32.475967783839955,5.0,19.688915140775745,13.0,76.43911330628565,4.0,76.4379896808714,0.0,0.0
9461,18.0,23.263929277654995,1.0,26.917900403768506,0.0,0.0,3.0,12.69089216971953,4.0,16.215997081120527,8.0,55.164804854502826,2.0,39.8406374501992,0.0,0.0
9462,6.0,8.023213832020646,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.940545373267769,0.0,0.0,4.0,78.01833430856252,0.0,0.0
9463,15.0,36.52123100895987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.478312892611427,8.0,85.80928885551862,6.0,182.53726802555522,0.0,0.0
9464,17.0,37.09765411893071,2.0,90.53870529651427,0.0,0.0,1.0,9.30232558139535,1.0,6.749460043196544,9.0,84.30123641813414,4.0,112.67605633802818,0.0,0.0
9471,33.0,22.424114757106064,1.0,13.679890560875513,0.0,0.0,2.0,6.163518136152115,6.0,10.986998718183482,11.0,35.563027383531086,13.0,154.6882436934793,0.0,0.0
9472,77.0,74.27843803056027,3.0,67.40058413839587,0.0,0.0,10.0,47.70309593092592,11.0,29.122101027215926,23.0,95.08454256066807,30.0,414.65100207325503,0.0,0.0
9473,32.0,36.88888376543281,1.0,26.034886748242645,0.0,0.0,5.0,28.259763748375065,6.0,19.404915912031047,11.0,53.62453078535563,9.0,138.6748844375963,0.0,0.0
9474,37.0,31.840830271163394,0.0,0.0,0.0,0.0,5.0,19.975230713914744,4.0,9.454029780193808,13.0,51.0324252178692,15.0,207.01076455975712,0.0,0.0
