ags,region,typ,unter 3 Jahre,3 bis unter 6 Jahre,6 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 18 Jahre,18 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 75 Jahre,75 Jahre und mehr,Insgesamt
07320,Zweibrücken, kreisfreie Stadt,889,895,1161,1448,933,708,1896,2215,2307,2078,1888,1936,2526,2778,2525,3778,4232,34193
07331,Alzey-Worms, Landkreis,3799,3827,4826,5927,3859,2801,6498,6777,7762,7940,7665,8420,11289,11648,10115,14156,12378,129687
07332,Bad Dürkheim, Landkreis,3410,3526,4412,5630,3610,2576,5908,6391,6882,7375,7300,8433,11868,12358,10504,15885,16603,132671
07334,Germersheim, Landkreis,3806,3822,4646,5991,3660,2585,7039,7422,8003,8383,7515,8602,10930,11103,9445,13065,12996,129013
07335,Kaiserslautern, Landkreis,3549,3188,3927,4921,3069,2246,5076,5558,6225,6220,5965,6444,8562,9416,8326,11651,11636,105979
07336,Kusel, Landkreis,1925,1816,2313,2921,1847,1352,3330,3629,3867,3831,3684,4231,5805,6603,5951,8681,8433,70219
07337,Südliche Weinstraße, Landkreis,2844,2980,3849,4705,3030,2195,5135,5440,6016,6364,6131,7069,9838,10310,8557,13127,12931,110521
07339,Mainz-Bingen, Landkreis,5937,6327,8130,10088,6292,4339,10348,10358,11590,13027,12899,14618,18963,18591,15411,22369,22130,211417
07340,Südwestpfalz, Landkreis,2190,2297,2964,3638,2400,1745,4250,4751,5048,5069,4888,5842,8360,9120,8032,11633,12604,94831
08111,Stuttgart, kreisfreie Stadt,18709,17042,20681,26246,15147,11671,41942,58301,59314,49871,42307,41628,44947,41589,32669,50557,63290,635911
08115,Böblingen, Landkreis,12610,12489,15148,18683,11635,7891,20924,24310,26861,26230,24788,26074,31591,30182,24800,35689,42902,392807
08116,Esslingen, Landkreis,15625,15254,19146,24782,15464,10949,31202,34321,35206,34272,33159,35957,44013,42249,33533,49938,59954,535024
08117,Göppingen, Landkreis,7605,7446,9267,12001,7573,5368,14280,15403,15933,15812,15028,16839,21197,20996,17395,25947,30055,258145
08118,Ludwigsburg, Landkreis,17129,16722,20649,25658,15974,11064,29074,34204,37239,36304,34762,36625,44937,42051,34356,49982,58693,545423
08121,Heilbronn, kreisfreie Stadt,4007,3805,4717,5983,3630,2588,8481,9727,9422,8433,7979,8126,8974,8784,7382,11135,13419,126592
08125,Heilbronn, Landkreis,10698,10407,12749,16306,10438,7317,18974,20766,22437,22393,21412,23372,28721,28478,23004,32871,34113,344456
08127,Schwäbisch Hall, Landkreis,6112,5989,7367,9472,6162,4249,11025,12260,13077,12679,11579,12746,15883,15994,13719,19330,19118,196761
08135,Heidenheim, Landkreis,3785,3803,4853,6344,4077,2844,7351,7843,8150,8228,7741,8450,10447,10694,9026,13365,15776,132777
08211,Baden-Baden, kreisfreie Stadt,1376,1381,1662,2244,1414,1025,2751,3034,3125,3246,3156,3460,4537,4560,3831,6363,8020,55185
08212,Karlsruhe, kreisfreie Stadt,8205,7853,9604,11890,7174,6941,27442,29206,25447,21939,18352,19011,22484,21402,17223,26407,31480,312060
08215,Karlsruhe, Landkreis,12374,12650,16199,20300,12669,8896,23593,25431,27448,27957,26465,29676,37710,37880,30638,46143,49072,445101
08216,Rastatt, Landkreis,6419,6442,8057,10379,6739,4751,11917,13017,13927,14347,13524,15086,19302,20133,16919,24305,26156,231420
08221,Heidelberg, kreisfreie Stadt,4826,4169,4902,5988,3347,4073,17392,16647,14971,12570,9444,8705,10121,9643,8011,12371,14305,161485
08222,Mannheim, kreisfreie Stadt,9241,8540,10034,12571,7585,6618,24318,26669,25305,22061,18908,19531,22845,21711,17727,26849,30145,310658
08231,Pforzheim, kreisfreie Stadt,4214,3985,4746,6037,3715,2687,8093,9223,9056,8169,7391,7728,8931,9007,7642,11514,13819,125957
08235,Calw, Landkreis,4563,4675,5834,7493,4945,3415,8813,8948,9659,9509,9267,10322,13139,13794,11276,16155,17394,159201
08237,Freudenstadt, Landkreis,3354,3286,4252,5696,3708,2640,6537,7064,7003,7031,6737,7727,9898,10213,8509,11703,12885,118243
08311,Freiburg im Breisgau, kreisfreie Stadt,7222,6419,7955,9407,5754,5230,21660,22928,20286,16525,13255,13209,15557,14818,12473,18055,20442,231195
08315,Breisgau-Hochschwarzwald, Landkreis,7772,7783,9918,12530,7907,5531,14211,14734,15320,15855,15032,16582,22083,21801,18310,27906,30326,263601
08316,Emmendingen, Landkreis,4918,4900,6113,7977,4928,3467,8823,9220,9899,10308,9629,10715,14084,14154,11832,17325,18116,166408
08325,Rottweil, Landkreis,4161,4159,5178,6794,4341,3019,7641,8305,8461,8183,7818,8989,11667,11830,9693,13750,15889,139878
08327,Tuttlingen, Landkreis,4463,4387,5566,7223,4540,3086,8032,8756,9378,8885,8499,8994,10929,10985,9330,12984,14729,140766
